# y   ux   uy   uz
9.39937334e-03  1.51000000e+01  -7.07007418e-01  1.87379374e+01
9.64459631e-03  1.51000000e+01  -7.26664654e-01  1.87379374e+01
9.89584838e-03  1.51000000e+01  -7.46805188e-01  1.87379374e+01
7.06397876e-06  3.34352147e-01  2.61907009e-06  2.59316332e-01
2.13656128e-05  9.98899220e-01  2.78144855e-05  7.84311442e-01
3.60188699e-05  1.66223770e+00  7.63504106e-05  1.32213140e+00
5.10323951e-05  2.32359022e+00  1.48225385e-04  1.87294363e+00
6.64150460e-05  2.98180789e+00  2.40914279e-04  2.43682007e+00
8.21758981e-05  3.63591155e+00  3.53379579e-04  3.01372871e+00
9.83242499e-05  4.28467860e+00  4.82972314e-04  3.60350318e+00
1.14869629e-04  4.92683722e+00  6.26824626e-04  4.20582487e+00
1.31821796e-04  5.56107119e+00  7.81804509e-04  4.82020420e+00
1.49190752e-04  6.18592906e+00  9.43808034e-04  5.44594573e+00
1.66986745e-04  6.79986723e+00  1.10798567e-03  6.08212289e+00
1.85220275e-04  7.40134969e+00  1.26932101e-03  6.72757316e+00
2.03902098e-04  7.98876598e+00  1.42194471e-03  7.38086439e+00
2.23043236e-04  8.56041408e+00  1.55892054e-03  8.04025929e+00
2.42654983e-04  9.11461954e+00  1.67289754e-03  8.70373227e+00
2.62748908e-04  9.64967380e+00  1.75557139e-03  9.36893421e+00
2.83336867e-04  1.01638442e+01  1.79762045e-03  1.00331755e+01
3.04431005e-04  1.06555455e+01  1.78966511e-03  1.06935104e+01
3.26043769e-04  1.11232519e+01  1.72157510e-03  1.13467090e+01
3.48187908e-04  1.15655368e+01  1.58262374e-03  1.19892892e+01
3.70876489e-04  1.19811305e+01  1.36176527e-03  1.26175799e+01
3.94122895e-04  1.23689079e+01  1.04750460e-03  1.32277431e+01
4.17940843e-04  1.27281004e+01  6.29207429e-04  1.38160181e+01
4.42344384e-04  1.30581436e+01  9.61797509e-05  1.43786640e+01
4.67347915e-04  1.33587821e+01  -5.61597792e-04  1.49121333e+01
4.92966189e-04  1.36300418e+01  -1.35352063e-03  1.54131274e+01
5.19214319e-04  1.38723840e+01  -2.28719102e-03  1.58788969e+01
5.46107792e-04  1.40864881e+01  -3.36959383e-03  1.63070623e+01
5.73662473e-04  1.42734873e+01  -4.60529280e-03  1.66960530e+01
6.01894619e-04  1.44347550e+01  -5.99753307e-03  1.70449116e+01
6.30820887e-04  1.45720244e+01  -7.54711578e-03  1.73535892e+01
6.60458343e-04  1.46871740e+01  -9.25354236e-03  1.76226748e+01
6.90824471e-04  1.47822937e+01  -1.11142651e-02  1.78535766e+01
7.21937187e-04  1.48596173e+01  -1.31248695e-02  1.80484693e+01
7.53814848e-04  1.49213558e+01  -1.52800600e-02  1.82099845e+01
7.86476259e-04  1.49697641e+01  -1.75730029e-02  1.83413638e+01
8.19940691e-04  1.50069703e+01  -1.99964974e-02  1.84460740e+01
8.54227887e-04  1.50349691e+01  -2.25430162e-02  1.85277479e+01
8.89358074e-04  1.50555746e+01  -2.52051100e-02  1.85900202e+01
9.25351981e-04  1.50703836e+01  -2.79758091e-02  1.86363653e+01
9.62230841e-04  1.50807599e+01  -3.08489076e-02  1.86699774e+01
1.00001641e-03  1.50878398e+01  -3.38191041e-02  1.86937053e+01
1.03873099e-03  1.50925359e+01  -3.68821808e-02  1.87099813e+01
1.07839741e-03  1.50955569e+01  -4.00350372e-02  1.87208051e+01
1.11903908e-03  1.50974406e+01  -4.32755940e-02  1.87277786e+01
1.16067997e-03  1.50985760e+01  -4.66027673e-02  1.87321200e+01
1.20334465e-03  1.50992362e+01  -5.00163100e-02  1.87347265e+01
1.24705830e-03  1.50996059e+01  -5.35166698e-02  1.87362330e+01
1.29184670e-03  1.50998048e+01  -5.71048498e-02  1.87370691e+01
1.33773628e-03  1.50999075e+01  -6.07822756e-02  1.87375140e+01
1.38475411e-03  1.50999581e+01  -6.45506887e-02  1.87377403e+01
1.43292793e-03  1.50999819e+01  -6.84120586e-02  1.87378500e+01
1.48228616e-03  1.50999926e+01  -7.23685199e-02  1.87379006e+01
1.53285793e-03  1.50999971e+01  -7.64223303e-02  1.87379227e+01
1.58467306e-03  1.50999989e+01  -8.05758427e-02  1.87379319e+01
1.63776213e-03  1.50999996e+01  -8.48314889e-02  1.87379355e+01
1.69215646e-03  1.50999999e+01  -8.91917712e-02  1.87379368e+01
1.74788814e-03  1.51000000e+01  -9.36592587e-02  1.87379372e+01
1.80499005e-03  1.51000000e+01  -9.82365856e-02  1.87379374e+01
1.86349588e-03  1.51000000e+01  -1.02926452e-01  1.87379374e+01
1.92344015e-03  1.51000000e+01  -1.07731624e-01  1.87379374e+01
1.98485822e-03  1.51000000e+01  -1.12654938e-01  1.87379374e+01
2.04778632e-03  1.51000000e+01  -1.17699297e-01  1.87379374e+01
2.11226160e-03  1.51000000e+01  -1.22867678e-01  1.87379374e+01
2.17832207e-03  1.51000000e+01  -1.28163130e-01  1.87379374e+01
2.24600672e-03  1.51000000e+01  -1.33588777e-01  1.87379374e+01
2.31535548e-03  1.51000000e+01  -1.39147820e-01  1.87379374e+01
2.38640927e-03  1.51000000e+01  -1.44843538e-01  1.87379374e+01
2.45921000e-03  1.51000000e+01  -1.50679293e-01  1.87379374e+01
2.53380062e-03  1.51000000e+01  -1.56658527e-01  1.87379374e+01
2.61022515e-03  1.51000000e+01  -1.62784768e-01  1.87379374e+01
2.68852866e-03  1.51000000e+01  -1.69061630e-01  1.87379374e+01
2.76875736e-03  1.51000000e+01  -1.75492816e-01  1.87379374e+01
2.85095858e-03  1.51000000e+01  -1.82082121e-01  1.87379374e+01
2.93518082e-03  1.51000000e+01  -1.88833432e-01  1.87379374e+01
3.02147376e-03  1.51000000e+01  -1.95750732e-01  1.87379374e+01
3.10988832e-03  1.51000000e+01  -2.02838102e-01  1.87379374e+01
3.20047666e-03  1.51000000e+01  -2.10099724e-01  1.87379374e+01
3.29329223e-03  1.51000000e+01  -2.17539881e-01  1.87379374e+01
3.38838978e-03  1.51000000e+01  -2.25162964e-01  1.87379374e+01
